epoch,step,train_acc,train_loss,val_acc,val_loss
0,8,,,0.08660351485013962,3.3266754150390625
1,9,0.0625,3.322784423828125,,
1,17,,,0.06901217997074127,3.3244130611419678
2,19,0.09375,3.2667236328125,,
2,26,,,0.08525034040212631,3.252201557159424
3,29,0.09375,3.2669677734375,,
3,35,,,0.07036536186933517,3.249274492263794
4,39,0.09375,3.34552001953125,,
4,44,,,0.09607578068971634,3.277127981185913
5,49,0.125,3.31390380859375,,
5,53,,,0.08525034040212631,3.263176918029785
6,59,0.09375,3.4093017578125,,
6,62,,,0.062246277928352356,3.2863118648529053
7,69,0.09375,3.36083984375,,
7,71,,,0.08254397660493851,3.235896587371826
8,79,0.0,3.59759521484375,,
8,80,,,0.08795669674873352,3.2484729290008545
9,89,0.0,3.5126953125,,
9,89,,,0.09066306054592133,3.212635040283203
10,98,,,0.09607578068971634,3.216343879699707
11,99,0.03125,3.31988525390625,,
11,107,,,0.07036536186933517,3.225533962249756
12,109,0.09375,3.1713027954101562,,
12,116,,,0.09607578068971634,3.224982738494873
13,119,0.1875,3.2315826416015625,,
13,125,,,0.08795669674873352,3.2193961143493652
14,129,0.1875,3.308349609375,,
14,134,,,0.0784844383597374,3.235285520553589
15,139,0.15625,2.98358154296875,,
15,143,,,0.06359945982694626,3.2378015518188477
16,149,0.03125,3.07720947265625,,
16,152,,,0.09201623499393463,3.2205286026000977
17,159,0.03125,3.4256591796875,,
17,161,,,0.08930987864732742,3.2134668827056885
18,169,0.125,3.33380126953125,,
18,170,,,0.09201623499393463,3.218302011489868
19,179,0.5,2.9404296875,,
19,179,,,0.09607578068971634,3.2064664363861084
