epoch,step,train_acc,train_loss,val_acc,val_loss
0,8,,,0.0784844383597374,3.3113605976104736
1,9,0.15625,3.266082763671875,,
1,17,,,0.09607578068971634,3.278759717941284
2,19,0.09375,3.435791015625,,
2,26,,,0.07442490011453629,3.253519058227539
3,29,0.15625,3.258544921875,,
3,35,,,0.08660351485013962,3.2236168384552
4,39,0.03125,3.31475830078125,,
4,44,,,0.09472259879112244,3.2380173206329346
5,49,0.125,3.175262451171875,,
5,53,,,0.09201623499393463,3.2334539890289307
6,59,0.03125,3.3187255859375,,
6,62,,,0.08795669674873352,3.232917308807373
7,69,0.03125,3.3114013671875,,
7,71,,,0.06630581617355347,3.2300736904144287
8,79,0.15625,3.045562744140625,,
8,80,,,0.08389715850353241,3.2224016189575195
9,89,0.0,3.6953125,,
9,89,,,0.09201623499393463,3.2180609703063965
10,98,,,0.08389715850353241,3.215402841567993
11,99,0.03125,3.3934326171875,,
11,107,,,0.08795669674873352,3.222485065460205
12,109,0.125,3.0719757080078125,,
12,116,,,0.08525034040212631,3.2357771396636963
13,119,0.25,2.98028564453125,,
13,125,,,0.09201623499393463,3.216886043548584
14,129,0.09375,3.28564453125,,
14,134,,,0.0798376202583313,3.2383155822753906
15,139,0.03125,3.16705322265625,,
15,143,,,0.08389715850353241,3.2377777099609375
16,149,0.0625,3.4793701171875,,
16,152,,,0.08254397660493851,3.2347118854522705
